scope,generation,layer,metric,value
candidate_objective,2,,residual_l4_calls_per_100_requests,5.88235294117647
candidate_objective,2,,residual_l4_verified_fields_per_100,5.88235294117647
candidate_objective,2,,wrong_accept_rate,0.0053475935828877
candidate_objective,2,,wrong_accepted_field_rate,0.0026490066225165563
layer_delta,2,L0,accepted_accuracy_delta,0.0
layer_delta,2,L0,cost_delta,0.0
layer_delta,2,L0,coverage_delta,0.3957219251336898
layer_delta,2,L0,layer_share_delta,0.3957219251336898
layer_delta,2,L0,p95_latency_ms_delta,0.0
layer_delta,2,L0,wrong_accept_delta,0.0
layer_delta,2,L1,accepted_accuracy_delta,0.0
layer_delta,2,L1,cost_delta,0.0
layer_delta,2,L1,coverage_delta,0.0
layer_delta,2,L1,layer_share_delta,0.0
layer_delta,2,L1,p95_latency_ms_delta,0.0
layer_delta,2,L1,wrong_accept_delta,0.0
layer_delta,2,L2,accepted_accuracy_delta,-1.0
layer_delta,2,L2,cost_delta,2.67379679144385e-05
layer_delta,2,L2,coverage_delta,0.0053475935828877
layer_delta,2,L2,layer_share_delta,0.0053475935828877
layer_delta,2,L2,p95_latency_ms_delta,5.0
layer_delta,2,L2,wrong_accept_delta,0.0053475935828877
layer_delta,2,L3,accepted_accuracy_delta,0.0
layer_delta,2,L3,cost_delta,0.0
layer_delta,2,L3,coverage_delta,0.0
layer_delta,2,L3,layer_share_delta,0.0
layer_delta,2,L3,p95_latency_ms_delta,0.0
layer_delta,2,L3,wrong_accept_delta,0.0
layer_delta,2,L4,accepted_accuracy_delta,0.0
layer_delta,2,L4,cost_delta,-0.4193404634581044
layer_delta,2,L4,coverage_delta,-0.4010695187165775
layer_delta,2,L4,layer_share_delta,-0.4010695187165775
layer_delta,2,L4,p95_latency_ms_delta,0.0
layer_delta,2,L4,wrong_accept_delta,0.0
bottleneck,,,weak_l1_rule_coverage,L1 accepted 0/3000 requests while L4 handled 2672/3000
bottleneck,,,weak_l1_rule_coverage.severity,warning
bottleneck,,,weak_l2_guard_calibration,L2 produced 1672 results but accepted none; threshold=0 accuracy is only 0.191 over 1600 labeled observations
bottleneck,,,weak_l2_guard_calibration.severity,warning
